-0.1,-0.0,-0.3,-0.2,1239	
-0.1,-0.0,-0.6,-0.5,1677	
-0.1,-0.0,-0.9,-0.8,2845	
-0.1,-0.0,-1.2,-1.1,4771	
-0.1,-0.0,-1.5,-1.4,7609	
-0.1,-0.0,-1.8,-1.7,11180	
-0.1,-0.0,-10.3,-10.2,2	
-0.1,-0.0,-10.9,-10.8,3	
-0.1,-0.0,-2.1,-2.0,15675	
-0.1,-0.0,-2.4,-2.3,19715	
-0.1,-0.0,-2.7,-2.6,22890	
-0.1,-0.0,-3.0,-2.9,24487	
-0.1,-0.0,-3.3,-3.2,23987	
-0.1,-0.0,-3.6,-3.5,21900	
-0.1,-0.0,-3.9,-3.8,19578	
-0.1,-0.0,-4.2,-4.1,17229	
-0.1,-0.0,-4.5,-4.4,15771	
-0.1,-0.0,-4.8,-4.7,16280	
-0.1,-0.0,-5.1,-5.0,18029	
-0.1,-0.0,-5.4,-5.3,20951	
-0.1,-0.0,-5.7,-5.6,23051	
-0.1,-0.0,-6.0,-5.9,24134	
-0.1,-0.0,-6.3,-6.2,22870	
-0.1,-0.0,-6.6,-6.5,20675	
-0.1,-0.0,-6.9,-6.8,16497	
-0.1,-0.0,-7.2,-7.1,12353	
-0.1,-0.0,-7.5,-7.4,8161	
-0.1,-0.0,-7.8,-7.7,5187	
-0.1,-0.0,-8.1,-8.0,2936	
-0.1,-0.0,-8.4,-8.3,1503	
-0.1,-0.0,-8.7,-8.6,748	
-0.1,-0.0,-9.0,-8.9,304	
-0.1,-0.0,-9.3,-9.2,117	
-0.1,-0.0,-9.6,-9.5,52	
-0.1,-0.0,-9.9,-9.8,19	
-0.1,-0.0,0.2,0.3,1168	
-0.1,-0.0,0.5,0.6,1752	
-0.1,-0.0,0.8,0.9,2780	
-0.1,-0.0,1.1,1.2,4737	
-0.1,-0.0,1.4,1.5,7635	
-0.1,-0.0,1.7,1.8,11292	
-0.1,-0.0,10.0,10.1,4	
-0.1,-0.0,10.3,10.4,3	
-0.1,-0.0,2.0,2.1,15755	
-0.1,-0.0,2.3,2.4,19729	
